contract,year,issue
011-2021,2021,sin_fecha_fin
009-2022,2022,sin_fecha_fin
015-2022,2022,sin_fecha_fin
045-2022,2022,valor_cero
050-2022,2022,sin_fecha_fin
056-2022,2022,sin_fecha_fin
044-2023,2023,valor_cero
055-2023,2023,sin_fecha_fin
057-2023,2023,sin_fecha_fin
063-2023,2023,sin_fecha_fin
064-2023,2023,sin_fecha_fin
065-2023,2023,sin_fecha_fin
067-2023,2023,sin_fecha_fin
068-2023,2023,valor_cero
069-2023,2023,valor_cero
081-2023,2023,sin_fecha_fin
082-2023,2023,sin_fecha_fin
082-2023,2023,valor_cero
029-2024,2024,valor_cero
097-2024,2024,sin_fecha_fin
097-2024,2024,valor_cero
120-2024,2024,sin_fecha_fin
001-2025,2025,sin_fecha_fin
002-2025,2025,sin_fecha_fin
003-2025,2025,sin_fecha_fin
004-2025,2025,sin_fecha_fin
007-2025,2025,sin_fecha_fin
008-2025,2025,sin_fecha_fin
009-2025,2025,sin_fecha_fin
010-2025,2025,sin_fecha_fin
011-2025,2025,sin_fecha_fin
012-2025,2025,sin_fecha_fin
013-2025,2025,sin_fecha_fin
014-2025,2025,sin_fecha_fin
015-2025,2025,sin_fecha_fin
016-2025,2025,sin_fecha_fin
017-2025,2025,sin_fecha_fin
018-2025,2025,sin_fecha_fin
019-2025,2025,sin_fecha_fin
020-2025,2025,sin_fecha_fin
021-2025,2025,sin_fecha_fin
022-2025,2025,sin_fecha_fin
023-2025,2025,sin_fecha_fin
024-2025,2025,sin_fecha_fin
025-2025,2025,sin_fecha_fin
028-2025,2025,sin_fecha_fin
029-2025,2025,sin_fecha_fin
030-2025,2025,sin_fecha_fin
031-2025,2025,sin_fecha_fin
032-2025,2025,sin_fecha_fin
033-2025,2025,sin_fecha_fin
034-2025,2025,sin_fecha_fin
035-2025,2025,sin_fecha_fin
036-2025,2025,sin_fecha_fin
037-2025,2025,sin_fecha_fin
038-2025,2025,sin_fecha_fin
039-2025,2025,sin_fecha_fin
041-2025,2025,sin_fecha_fin
045-2025,2025,sin_fecha_fin
047-2025,2025,sin_fecha_fin
048-2025,2025,sin_fecha_fin
049-2025,2025,sin_fecha_fin
050-2025,2025,sin_fecha_fin
051-2025,2025,sin_fecha_fin
052-2025,2025,sin_fecha_fin
053-2025,2025,sin_fecha_fin
054-2025,2025,sin_fecha_fin
055-2025,2025,sin_fecha_fin
056-2025,2025,sin_fecha_fin
057-2025,2025,sin_fecha_fin
058-2025,2025,sin_fecha_fin
059-2025,2025,sin_fecha_fin
065-2025,2025,sin_fecha_fin
066-2025,2025,sin_fecha_fin
067-2025,2025,sin_fecha_fin
068-2025,2025,sin_fecha_fin
069-2025,2025,sin_fecha_fin
070-2025,2025,sin_fecha_fin
072-2025,2025,sin_fecha_fin
073-2025,2025,sin_fecha_fin
075-2025,2025,sin_fecha_fin
076-2025,2025,sin_fecha_fin
080-2025,2025,sin_fecha_fin
083-2025,2025,sin_fecha_fin
090-2025,2025,sin_fecha_fin
098-2025,2025,sin_fecha_fin
101-2025,2025,sin_fecha_fin
