id,contract_id,commitment_type,number,value,budget_code,date,is_addition
e41432f6-ebf0-4d6b-afb7-156e3feae74c,58ab7657-057a-4b7d-82d4-9276cae0d97a,CDP,2.0,15470000.0,2.1.2.02.008.01.01,2021-10-22,False
76ca8b7c-16c9-43b0-b274-34add1b2a837,58ab7657-057a-4b7d-82d4-9276cae0d97a,CRP,2021-002,15470000.0,2.1.2.02.008.01.01,2021-10-27,False
511fcd08-ea63-421c-8309-583b37e56698,ab4da568-9126-4477-8b46-78062d680ffb,CDP,3.0,15470000.0,2.1.2.02.02.008.02,2021-10-22,False
7f351df8-81d1-4d52-a630-ed45c33115e2,ab4da568-9126-4477-8b46-78062d680ffb,CRP,2021-0003,15470000.0,2.1.2.02.02.008.02,2021-10-27,False
e660579d-91b4-4c67-a4d7-15412673f582,fc1e8a6e-55f0-4ebb-855c-f2e5e11fff16,CDP,5.0,20266667.0,2.1.2.02.007.01,2021-10-20,False
4d6451fb-4fce-423e-9641-3e0fb19b148d,fc1e8a6e-55f0-4ebb-855c-f2e5e11fff16,CRP,2021-005,20266667.0,2.1.2.02.007.01,2021-10-27,False
50e01cba-c792-4945-9256-70ac6fa83591,0c67ae61-2db9-46b7-9ade-8919a2b205c2,CDP,2021-0007,7200000.0,2.5.5.02.09.01.04.01.01,2021-11-25,False
7ed571c9-9caf-4db1-a85c-59220453bda7,0c67ae61-2db9-46b7-9ade-8919a2b205c2,CRP,2021-0007,7200000.0,2.5.5.02.09.01.04.01.01,2021-11-25,False
3233436a-c456-4d47-841e-98fc9ce7b260,abe8d8fa-90f7-40e8-9477-b460946fc793,CDP,2021-0010,6400000.0,2.5.5.02.09.01.04.01.02,2021-11-26,False
4b00bd0c-b1d0-4191-973f-2a998523a14c,abe8d8fa-90f7-40e8-9477-b460946fc793,CRP,2021-0010,6400000.0,2.5.5.02.09.01.04.01.02,2021-11-26,False
1f3ee754-3295-4f30-8985-df8c66463354,039afcea-fbf1-4f15-b43a-c791a55aed34,CDP,2021-0015,2566667.0,2.5.5.02.09.01.04.01.03,2021-12-07,False
ad084ba1-5bfd-48e2-adef-77fd0525cd96,039afcea-fbf1-4f15-b43a-c791a55aed34,CRP,2021-0015,2566667.0,2.5.5.02.09.01.04.01.03,2021-12-07,False
f3976863-3a71-4665-800c-4fe443dfd7ba,34f7ae23-4240-4bcb-97ae-b1c86135c93b,CDP,2021-0018,4200000.0,2.5.5.02.09.01.04.01.04,2021-12-09,False
ce3b34d5-0494-46da-912a-7b32fb95dcfb,34f7ae23-4240-4bcb-97ae-b1c86135c93b,CRP,2021-0009,4200000.0,2.5.5.02.09.01.04.01.04,2021-12-10,False
d433f8ff-61cc-4ab4-a389-fd4139263d32,71e92ecc-20a9-4297-80f9-671990eac54e,CDP,2021-0008,8073856000.0,2.5.5.02.09.01.01.03.01,2021-11-26,False
b0b6844d-847d-4622-80c1-9f428126fb50,71e92ecc-20a9-4297-80f9-671990eac54e,CRP,2021-0012,8073856000.0,2.5.5.02.09.01.01.03.01,2021-12-22,False
ffbd560f-cb03-467b-8f7b-03456d3477dd,fb1fbcf9-931e-47dc-bb84-113942229f44,CDP,2021-0022,168000.0,2.1.2.02.02.008.02,2021-12-21,False
53e57ab8-b4ad-4342-92af-cfc680cf6609,fb1fbcf9-931e-47dc-bb84-113942229f44,CRP,2021-0022 2021-0024,168000.0,2.1.2.02.02.008.02,,False
229f7a3b-b1d8-486e-bd3b-6f39a65f3811,19e6540e-3770-4231-b4dd-5249b4b94115,CDP,2021-0029,14500150.0,2.1.2.02.01.002.01,,False
