id,contract_id,extension_number,extension_term_text,extension_term_days,extension_date,new_end_date
19940672-fefc-483c-8c3e-635b2d85b6db,41bbc752-315b-4988-9761-27159d95c3c5,1,7 meses,210.0,,
ca047a0f-ca8f-4c45-93db-d2f860abceb0,41bbc752-315b-4988-9761-27159d95c3c5,2,2 meses,60.0,,
db30958a-41c8-4f68-8164-6b8f58724c53,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,1,7 meses y 15 dias,225.0,,
30a3de48-95d4-419b-a5b1-29d5e7217a01,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,2,3 meses,90.0,,
1fcba21d-f175-4218-bbe0-55edae4d86fb,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,3,2 meses,60.0,,
27a7bfa5-a8b7-4f38-84d1-9c79944dc633,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,4,5 meses,150.0,,
7a6555d2-29b4-493e-b19a-0c3c0a59f066,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,5,1 mes,30.0,,
a1d7af20-7d8b-48ea-86ee-9812ef80ca23,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,6,15 días,15.0,,
95e90a37-0048-4f5c-a8a6-4dceff5db933,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,7,3 meses,90.0,,
a31c32f6-70eb-43da-948b-1c4c13ed35b9,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,8,3 meses,90.0,,
12c56449-5810-450e-94c1-7a95d3073724,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,9,1 mes,30.0,,
d2a6c0e4-82e3-4641-87e6-5fa5dbe04d40,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,10,15 días,15.0,,
10711430-1be9-4149-b46f-249ab7ef2905,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,11,11 días,11.0,,
3335cafa-55ba-41d7-ad70-94fa43f7c061,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,12,2 meses,60.0,,
1063ecfa-1264-4df5-a289-ffe1899a9dd4,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,13,23 días,23.0,,
a57cacad-1ff3-4c7f-88c8-c3611df0c006,a463747f-9dbf-41b1-b6d2-bc4a2f3223d1,14,28 días,28.0,,
ae8aead1-aeb1-4f89-987e-413add5fa0be,f5069cb9-8d2b-40f7-bb72-191ccf99c97d,1,45 DIAS,45.0,,
743b182f-608a-4fd3-b1e4-bcbfadcf9640,f5069cb9-8d2b-40f7-bb72-191ccf99c97d,2,45 DIAS,45.0,,
e30e675b-d220-4a26-99e9-1b4a881ad4e5,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,1,7 meses 10 dias,220.0,,
18231cb7-ce9f-4de3-9ef1-ae63b1b7b4a2,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,2,3 meses,90.0,,
452f62cb-5b46-4f42-9ea1-785b7af16ad1,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,3,16 dias,16.0,,
3781d196-79d7-41dd-9ea5-f53a5e5df946,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,4,12 dias,12.0,,
b507e700-b4b9-4236-a6f5-b88e3913f79a,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,5,17 dias,17.0,,
9f8269fd-231d-437a-ae06-8c98cb023eee,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,6,6 meses,180.0,,
5f53cc5b-bac4-44d6-81ef-e59861043b2f,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,7,15 días,15.0,,
5fb02043-faa6-47d2-8376-9e2a15ec2945,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,8,3 meses,90.0,,
2e27fadd-a1ea-429e-a9aa-8dc352338564,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,9,3 meses,90.0,,
c08819a8-f462-49d6-8f08-2e69df3be2c4,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,10,1 mes,30.0,,
8092e4d9-d375-4680-863f-1949c413132d,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,11,15 días,15.0,,
e1557a6f-daf1-4995-a7bd-1ce1661bd050,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,12,11 días,11.0,,
9c875afa-0b7c-4e92-8672-9b49846d8008,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,13,2 meses y 23 días,83.0,,
ba341357-6a6c-407f-9701-6356bf7f8b66,956f5f9f-1be7-4d38-9a7e-ecf4464f7225,14,28 días,28.0,,
faa5d4ae-6a77-484e-b97a-38716b3bf09b,674fe586-0c01-4c9c-a222-c0278330150b,1,4 MESES 20 DIAS,140.0,,
4adc7eb2-2257-43c2-bffe-0997642602de,674fe586-0c01-4c9c-a222-c0278330150b,2,1 MES 8 DIAS,38.0,,
47406bfb-c59c-40ef-bf93-0a7ab6089a9a,674fe586-0c01-4c9c-a222-c0278330150b,3,5 MESES,150.0,,
